NumeroPontos Tempo  Tempo 
64 0.215254  0.181509 
128 0.271876  0.188189 
200 0.351558  0.210307 
256 0.423432  0.219669 
512 0.668655  0.268321 
600 0.740068  0.293017 
800 0.943693  0.333142 
1024 1.143930  0.380470 
2000 1.894634  0.634575 
3000 2.683108  0.802102 
4096 3.570656  1.037565 
6000 5.183472  7.387962 
7000 5.637825  1.696936 
10000 8.188934  2.334712 
50000 41.132427  25.207985 
100000 81.353194  45.715641 
1000000 827.530590  214.468645 
10000000 19823.548303  2534.876128 
