NumeroPontos L2CACHE  L2CACHE 
64 0.3115  0.2782 
128 0.2968  0.2697 
200 0.2607  0.2375 
256 0.2493  0.2937 
512 0.2268  0.2430 
600 0.2338  0.3004 
800 0.2171  0.3132 
1024 0.1784  0.3033 
2000 0.1672  0.3116 
3000 0.1878  0.3405 
4096 0.1971  0.2223 
6000 0.1561  0.2531 
7000 0.1295  0.3421 
10000 0.1372  0.2914 
50000 0.1340  0.2658 
100000 0.1386  0.2953 
1000000 0.0536  0.2819 
10000000 0.3164  0.2761 
