NumeroPontos L2CACHE  L2CACHE 
64 0.3187  0.3158 
128 0.3169  0.3046 
200 0.3197  0.2356 
256 0.3341  0.2728 
512 0.3107  0.2150 
600 0.2924  0.2173 
800 0.2627  0.2159 
1024 0.2031  0.2443 
2000 0.0927  0.2843 
3000 0.0916  0.2925 
4096 0.0645  0.2589 
6000 0.1216  0.2808 
7000 0.1304  0.3155 
10000 0.2021  0.1857 
50000 0.3823  0.1869 
100000 0.3831  0.2126 
1000000 0.3130  0.1744 
10000000 0.3045  0.1739 
