NumeroPontos L3  L3 
64 1189.2454  2754.6604 
128 707.9708  1445.4615 
200 466.2938  1183.7139 
256 385.8357  895.4899 
512 196.8310  571.6027 
600 188.1406  518.4110 
800 149.6574  518.6389 
1024 149.3413  418.4600 
2000 108.0966  338.6722 
3000 87.2724  306.0556 
4096 77.5434  325.3110 
6000 69.8459  246.9138 
7000 65.1096  318.4315 
10000 64.3809  206.5750 
50000 62.7211  194.9633 
100000 65.4343  463.6195 
1000000 34.2634  255.8478 
10000000 24.6156  232.0403 
