NumeroPontos L3  L3 
64 636.5555  2303.0854 
128 349.6429  1430.4470 
200 246.6974  1287.0978 
256 205.3855  1049.8639 
512 112.4107  820.6400 
600 111.0912  938.1019 
800 95.1415  833.8134 
1024 74.1117  932.9612 
2000 79.7432  1146.9554 
3000 51.7275  1181.7986 
4096 63.2476  1189.9462 
6000 118.8025  1208.3614 
7000 164.9659  1731.3639 
10000 144.3924  1027.3579 
50000 413.7584  636.2183 
100000 396.0480  936.0362 
1000000 452.3463  1220.8197 
10000000 706.0838  1397.9589 
