NumeroPontos Tempo  Tempo 
64 0.313826  0.209531 
128 0.387660  0.237417 
200 0.472046  0.276219 
256 0.552244  0.302873 
512 0.914725  0.425164 
600 1.044603  0.499002 
800 1.336044  0.556900 
1024 1.663613  0.669470 
2000 3.136917  1.183537 
3000 4.603116  1.635047 
4096 6.210538  2.164256 
6000 9.133395  3.160928 
7000 10.622605  3.665262 
10000 14.985616  5.255242 
50000 73.830278  49.378666 
100000 147.325868  97.427993 
1000000 1503.565770  501.717013 
10000000 15150.910937  6056.502448 
