TamanhoMatriz FLOPS_DP ANTES DEPOIS
64 722.0255 672.8731 0 0
100 750.0947 671.2517 0 0
128 758.7899 728.4576 0 0
200 769.0326 687.3776 0 0
256 770.4923 786.6736 0 0
512 770.1658 827.1154 0 0
600 775.2592 828.3191 0 0
900 765.1070 834.9396 0 0
1024 743.9261 816.8453 0 0
2000 763.0845 835.1285 0 0
2048 754.2039 835.3417 0 0
3000 763.9187 838.4710 0 0
4000 756.6948 838.3583 0 0
