TamanhoMatriz L2CACHE ANTES DEPOIS
64 0.0225 0.0694
100 0.0212 0.0865
128 0.0060 0.0449
200 0.3164 0.2839
256 0.4825 0.4322
512 0.4956 0.4189
600 0.1047 0.2922
900 0.0985 0.2600
1024 0.4534 0.3727
2000 0.2292 0.4013
2048 0.3453 0.3009
3000 0.3305 0.3964
4000 0.4651 0.4007
