NumeroPontos L2CACHE
64 0.2782
128 0.2697
200 0.2375
256 0.2937
512 0.2430
600 0.3004
800 0.3132
1024 0.3033
2000 0.3116
3000 0.3405
4096 0.2223
6000 0.2531
7000 0.3421
10000 0.2914
50000 0.2658
100000 0.2953
1000000 0.2819
10000000 0.2761
