NumeroPontos L3
64 2303.0854
128 1430.4470
200 1287.0978
256 1049.8639
512 820.6400
600 938.1019
800 833.8134
1024 932.9612
2000 1146.9554
3000 1181.7986
4096 1189.9462
6000 1208.3614
7000 1731.3639
10000 1027.3579
50000 636.2183
100000 936.0362
1000000 1220.8197
10000000 1397.9589
