NumeroPontos Tempo
64 0.181509
128 0.188189
200 0.210307
256 0.219669
512 0.268321
600 0.293017
800 0.333142
1024 0.380470
2000 0.634575
3000 0.802102
4096 1.037565
6000 7.387962
7000 1.696936
10000 2.334712
50000 25.207985
100000 45.715641
1000000 214.468645
10000000 2534.876128
