NumeroPontos L2CACHE
64 0.2697
128 0.2742
200 0.2558
256 0.2813
512 0.2514
600 0.2758
800 0.2703
1024 0.2638
2000 0.2766
3000 0.2773
4096 0.2783
6000 0.2759
7000 0.3294
10000 0.2733
50000 0.2718
100000 0.2884
1000000 0.2839
10000000 0.2811
