NumeroPontos Tempo
64 0.166145
128 0.162857
200 0.165838
256 0.164790
512 0.164178
600 0.167243
800 0.164159
1024 0.160947
2000 0.170927
3000 0.163586
4096 0.170052
6000 0.170908
7000 0.175598
10000 0.170066
50000 0.170528
100000 0.166748
1000000 0.173419
10000000 0.170935
