NumeroPontos FLOPS_DP
64 120.1381 0
128 129.8940 0
200 132.2907 0
256 130.7475 0
512 127.6333 0
600 128.7496 0
800 130.8791 0
1024 129.6501 0
2000 126.4638 0
3000 132.1570 0
4096 127.5687 0
6000 976.8254 0
7000 131.7136 0
10000 130.0429 0
50000 121.0135 0
100000 127.7009 0
1000000 130.6386 0
10000000 130.4680 0
