NumeroPontos L3
64 12667.3748
128 12550.1148
200 12945.0067
256 12108.5428
512 12653.9509
600 9483.9808
800 13795.8531
1024 11995.6319
2000 12570.0932
3000 11906.2384
4096 13983.5129
6000 10705.9938
7000 13494.9750
10000 13615.7530
50000 12737.0081
100000 12915.6338
1000000 12524.8374
10000000 13442.8893
