NumeroPontos FLOPS_DP
64 94.8210 0
128 93.4403 0
200 94.3305 0
256 98.2059 0
512 89.1705 0
600 73.2828 0
800 100.7290 0
1024 86.9455 0
2000 97.3033 0
3000 95.8528 0
4096 95.4832 0
6000 90.3659 0
7000 86.0935 0
10000 97.3764 0
50000 93.5760 0
100000 95.8032 0
1000000 97.9359 0
10000000 105.3721 0
